Chromosome	Chromosome_Coord	FC_FWvsOC
groupXVI	15590	1.032637457
groupXVI	33354	1.294311067
groupXVI	51472	0.903828577
groupXVI	88111	1.155511046
groupXVI	101430	1.013912229
groupXVI	119437	0.929064809
groupXVI	132408	0.933435805
groupXVI	158005	1.149398693
groupXVI	198503	0.930183504
groupXVI	228415	0.927602295
groupXVI	238159	1.097858737
groupXVI	260701	0.977315303
groupXVI	273021	0.949321263
groupXVI	301018	0.979618357
groupXVI	311387	1.128285991
groupXVI	321292	1.054910793
groupXVI	405813	0.743509185
groupXVI	414634	1.218723286
groupXVI	422186	1.12767342
groupXVI	434759	1.070456408
groupXVI	452198	1.015289274
groupXVI	470438	1.463709523
groupXVI	479641	0.745241878
groupXVI	496658	3.892878745
groupXVI	507674	3.126195857
groupXVI	619873	0.878884136
groupXVI	635891	0.867505187
groupXVI	1393683	1.25522184
groupXVI	1398379	1.313689016
groupXVI	1404151	1.287398614
groupXVI	1574048	1.062523275
groupXVI	1608432	1.469225676
groupXVI	1621742	1.238773984
groupXVI	1650896	0.995630486
groupXVI	1676524	1.042398022
groupXVI	1693004	0.90655235
groupXVI	1702802	0.951149979
groupXVI	1712515	1.044250204
groupXVI	1943280	0.783093421
groupXVI	2047443	1.087119983
groupXVI	2047773	0.737352957
groupXVI	2080145	1.142681858
groupXVI	2191635	0.90023625
groupXVI	2223433	1.351408859
groupXVI	2230906	1.525449592
groupXXI	13866	3.760418797
groupXXI	48115	1.08180978
groupXXI	125552	1.291000908
groupXXI	246609	1.255936945
groupXXI	282790	1.712559345
groupXXI	305114	1.072573229
groupXXI	313146	0.889911771
groupXVI	2236302	0.860653034
groupXVI	2239779	0.992674614
groupXXI	549044	1.122627619
groupXVI	2247006	0.974465582
groupXXI	568319	0.950135767
groupXVI	2274276	1.111951149
groupXVI	2290609	0.986709865
groupXXI	646502	1.009035579
groupXVI	2298576	0.942098477
groupXVI	2308464	0.987106685
groupXXI	790097	0.97075433
groupXVI	2331192	0.926115479
groupXXI	800898	1.201144524
groupXVI	2373798	0.983702073
groupXVI	2387627	1.233056988
groupXXI	849540	1.093186426
groupXXI	1108737	0.945863332
groupXVI	2397887	1.369908032
groupXXI	1299363	0.943956355
groupXVI	2402953	1.551139734
groupXVI	2406700	2.04263493
groupXVI	2421812	1.655049201
groupXVI	2456826	1.012827381
groupXXI	1324854	1.186856292
groupXXI	1352240	0.750016817
groupXXI	1565522	0.828246446
groupXXI	1638775	0.935740878
groupXVI	2486570	0.936321112
groupXVI	2491842	1.210300231
groupXVI	2494155	0.790644014
groupXXI	1876583	1.045777719
groupXVI	2494163	0.839416125
groupXXI	1884571	1.5488699
groupXVI	2500138	0.896598101
groupXVI	2537798	1.0265694
groupXXI	1891091	1.049186691
groupX	18508	0.770450935
groupX	25599	1.182617337
groupX	32209	1.06943313
groupXVI	2559576	1.151603622
groupXXI	1901527	1.095687682
groupXXI	1908132	0.776151592
groupXXI	1911533	0.814049642
groupX	39217	1.211997867
groupXXI	1915451	1.316873625
groupX	46186	1.315166994
groupXXI	1927211	1.02071426
groupX	52558	1.222949954
groupXXI	1960564	0.784009237
groupXVI	2564574	0.884571051
groupXVI	2578604	0.880356515
groupX	63035	0.919166104
groupXXI	1969991	0.496814962
groupXVI	2636877	0.811963112
groupXXI	1978310	0.94810675
groupXVI	2725782	1.040605373
groupXVI	2777146	1.052668608
groupXVI	2784651	1.167951527
groupXVI	2847907	0.836043084
groupXVI	2987696	1.05374891
groupX	428892	1.21721873
groupX	487697	1.788495469
groupXXI	1986916	1.118236335
groupX	523541	2.421133306
groupX	578883	1.160484533
groupXVI	3036008	1.005384568
groupX	582199	0.789413726
groupXXI	2055505	0.96773306
groupX	663993	0.636686366
groupX	785531	3.853198122
groupX	804148	1.502207317
groupXXI	2061147	0.786419522
groupX	892910	3.279835056
groupXVI	3195397	1.235799557
groupXXI	2075652	1.15229261
groupX	958186	0.951779891
groupXXI	2078806	0.980980065
groupXXI	2082451	1.557289184
groupXXI	2087873	0.804742919
groupXVI	3203325	1.634399038
groupX	1080119	1.441515478
groupXXI	2135820	1.00882201
groupXVI	3209708	1.229726965
groupX	1093291	3.199554807
groupX	1122136	1.11555994
groupX	1148547	3.642264844
groupX	1187075	0.949748714
groupX	1225947	0.998173822
groupXVI	3216078	0.811216282
groupX	1237550	0.990896533
groupX	1252937	1.076871013
groupX	1258010	1.00744173
groupX	1315577	1.065720565
groupXXI	2165850	0.815730271
groupXVI	3393252	0.78921751
groupXXI	2194771	1.233136312
groupX	1423844	0.937892083
groupX	1434237	1.037988304
groupXVI	3404927	0.863551652
